team,team_name,year,payroll,wins,playoffs
ATL,Atlanta Hawks,2014,58477559,38,1
ATL,Atlanta Hawks,2015,58328957,60,1
ATL,Atlanta Hawks,2016,71407945,48,1
ATL,Atlanta Hawks,2017,95563799,43,1
ATL,Atlanta Hawks,2018,100020936,24,0
ATL,Atlanta Hawks,2019,103572808,29,0
ATL,Atlanta Hawks,2020,112342555,20,0
ATL,Atlanta Hawks,2021,116695055,41,1
ATL,Atlanta Hawks,2022,132773339,43,1
ATL,Atlanta Hawks,2023,149133740,41,1
ATL,Atlanta Hawks,2024,156139798,36,0
ATL,Atlanta Hawks,2025,174418704,40,0
BKN,Brooklyn Nets,2014,102928076,44,1
BKN,Brooklyn Nets,2015,92047946,38,1
BKN,Brooklyn Nets,2016,82073825,21,0
BKN,Brooklyn Nets,2017,83730005,20,0
BKN,Brooklyn Nets,2018,95538311,28,0
BKN,Brooklyn Nets,2019,155292550,42,1
BKN,Brooklyn Nets,2020,128264668,35,0
BKN,Brooklyn Nets,2021,170823551,48,0
BKN,Brooklyn Nets,2022,172820410,44,0
BKN,Brooklyn Nets,2023,164774911,45,1
BKN,Brooklyn Nets,2024,172002344,32,0
BKN,Brooklyn Nets,2025,178836132,26,0
BOS,Boston Celtics,2014,72221160,25,0
BOS,Boston Celtics,2015,69478008,40,1
BOS,Boston Celtics,2016,87401609,48,1
BOS,Boston Celtics,2017,103158699,53,1
BOS,Boston Celtics,2018,115075693,55,1
BOS,Boston Celtics,2019,128794955,49,1
BOS,Boston Celtics,2020,119147447,48,1
BOS,Boston Celtics,2021,130767745,36,1
BOS,Boston Celtics,2022,135425801,51,1
BOS,Boston Celtics,2023,176795764,57,1
BOS,Boston Celtics,2024,188759360,64,1
BOS,Boston Celtics,2025,197048229,61,1
CHA,Charlotte Hornets,2014,63834736,43,1
CHA,Charlotte Hornets,2015,65680052,33,1
CHA,Charlotte Hornets,2016,84174736,48,1
CHA,Charlotte Hornets,2017,102036240,36,0
CHA,Charlotte Hornets,2018,120170928,36,0
CHA,Charlotte Hornets,2019,124672166,39,0
CHA,Charlotte Hornets,2020,129547825,23,0
CHA,Charlotte Hornets,2021,107134070,33,0
CHA,Charlotte Hornets,2022,120990744,43,0
CHA,Charlotte Hornets,2023,146049640,27,0
CHA,Charlotte Hornets,2024,141036011,21,0
CHA,Charlotte Hornets,2025,167423486,19,0
CHI,Chicago Bulls,2014,71073626,48,1
CHI,Chicago Bulls,2015,67432537,50,1
CHI,Chicago Bulls,2016,102184130,42,1
CHI,Chicago Bulls,2017,93175538,41,0
CHI,Chicago Bulls,2018,90105625,27,0
CHI,Chicago Bulls,2019,112014084,22,0
CHI,Chicago Bulls,2020,113208742,22,0
CHI,Chicago Bulls,2021,128065350,31,0
CHI,Chicago Bulls,2022,136118673,46,1
CHI,Chicago Bulls,2023,153093665,40,0
CHI,Chicago Bulls,2024,166348969,39,0
CHI,Chicago Bulls,2025,168006873,39,0
CLE,Cleveland Cavaliers,2014,85186922,33,0
CLE,Cleveland Cavaliers,2015,84898470,53,1
CLE,Cleveland Cavaliers,2016,108126573,57,1
CLE,Cleveland Cavaliers,2017,127570594,51,1
CLE,Cleveland Cavaliers,2018,140394596,50,1
CLE,Cleveland Cavaliers,2019,130531727,19,1
CLE,Cleveland Cavaliers,2020,135275863,19,0
CLE,Cleveland Cavaliers,2021,126527288,22,0
CLE,Cleveland Cavaliers,2022,133138401,44,1
CLE,Cleveland Cavaliers,2023,154561446,51,1
CLE,Cleveland Cavaliers,2024,168250835,48,1
CLE,Cleveland Cavaliers,2025,191895765,64,1
DAL,Dallas Mavericks,2014,68057497,49,1
DAL,Dallas Mavericks,2015,75014621,50,1
DAL,Dallas Mavericks,2016,85348541,42,1
DAL,Dallas Mavericks,2017,104083711,33,0
DAL,Dallas Mavericks,2018,86728186,24,0
DAL,Dallas Mavericks,2019,87760060,33,0
DAL,Dallas Mavericks,2020,137669923,43,1
DAL,Dallas Mavericks,2021,125815404,42,1
DAL,Dallas Mavericks,2022,146734486,52,1
DAL,Dallas Mavericks,2023,180090371,38,1
DAL,Dallas Mavericks,2024,175321021,50,1
DAL,Dallas Mavericks,2025,187147472,39,1
DEN,Denver Nuggets,2014,72504007,36,0
DEN,Denver Nuggets,2015,67357778,30,0
DEN,Denver Nuggets,2016,71448753,33,0
DEN,Denver Nuggets,2017,82581936,40,1
DEN,Denver Nuggets,2018,106515203,46,0
DEN,Denver Nuggets,2019,119128560,54,1
DEN,Denver Nuggets,2020,131854274,46,1
DEN,Denver Nuggets,2021,146803920,47,1
DEN,Denver Nuggets,2022,139155802,48,1
DEN,Denver Nuggets,2023,177258699,53,1
DEN,Denver Nuggets,2024,184751085,57,1
DEN,Denver Nuggets,2025,192786656,50,1
DET,Detroit Pistons,2014,61897253,29,0
DET,Detroit Pistons,2015,63871995,32,0
DET,Detroit Pistons,2016,75609262,44,1
DET,Detroit Pistons,2017,129932342,37,0
DET,Detroit Pistons,2018,118897722,39,0
DET,Detroit Pistons,2019,124996010,41,0
DET,Detroit Pistons,2020,155402078,20,0
DET,Detroit Pistons,2021,115013466,20,0
DET,Detroit Pistons,2022,146761727,23,0
DET,Detroit Pistons,2023,127673493,53,0
DET,Detroit Pistons,2024,136419412,14,0
DET,Detroit Pistons,2025,141808220,44,1
GSW,Golden State Warriors,2014,71406068,51,1
GSW,Golden State Warriors,2015,82895153,67,1
GSW,Golden State Warriors,2016,106813096,73,1
GSW,Golden State Warriors,2017,108842557,67,1
GSW,Golden State Warriors,2018,136843128,58,1
GSW,Golden State Warriors,2019,154587831,57,1
GSW,Golden State Warriors,2020,139359490,15,1
GSW,Golden State Warriors,2021,175825052,39,1
GSW,Golden State Warriors,2022,184024769,53,1
GSW,Golden State Warriors,2023,214123199,44,1
GSW,Golden State Warriors,2024,237308846,46,1
GSW,Golden State Warriors,2025,191129581,48,1
HOU,Houston Rockets,2014,67435460,54,1
HOU,Houston Rockets,2015,74050249,56,1
HOU,Houston Rockets,2016,92714057,41,1
HOU,Houston Rockets,2017,90968493,55,1
HOU,Houston Rockets,2018,120350864,65,1
HOU,Houston Rockets,2019,131531438,53,1
HOU,Houston Rockets,2020,151594903,44,1
HOU,Houston Rockets,2021,141776435,17,0
HOU,Houston Rockets,2022,132065764,20,0
HOU,Houston Rockets,2023,161288595,22,0
